200401	11102	9902	30001	5019	5261	4306	2.90	4064	2.90
200401	11102	9902	30002	2515	2342	6538	6.62	6711	6.62
200401	11102	9902	30003	2195	1767	5850	15.93	6278	15.93
200401	11102	9902	30004	2080	2594	5507	0.85	4993	0.85
200401	11102	9902	30005	1296	1239	2841	34.97	2898	34.97
200401	11102	9902	30006	697	681	418	85.11	434	85.11
200401	11102	9902	30007	1223	1024	4392	46.38	4591	46.38
200401	11102	9902	30008	270	317	47	75.00	0	75.00
200401	11102	9902	30009	3646	3127	1476	5.60	1995	5.60
200401	11102	9902	30010	1367	1635	2947	10.00	2679	10.00
200401	11102	9902	30011	617	667	1916	250.00	1866	250.00
200401	11102	9902	30012	166	191	446	396.00	421	396.00
200401	11102	9902	30013	422	397	925	392.57	950	392.57
200401	11102	9902	30014	149	176	135	426.00	108	426.00
200401	11102	9902	30015	71	58	78	490.00	91	490.00
200401	11102	9902	30016	3062	2990	1948	1.00	2020	1.00
200401	11102	9902	30017	1056	1058	1518	60.00	1516	60.00
200401	11102	9902	30018	802	794	2033	86.00	2041	86.00
200401	11102	9902	30019	560	491	821	150.00	890	150.00
200401	11102	9902	30020	598	582	371	69.00	387	69.00
200401	11102	9902	30021	687	656	1794	19.17	1825	19.17
200401	11102	9902	30022	633	580	1355	9.00	1408	9.00
200401	11102	9902	30023	471	479	952	65.25	944	65.25
200401	11102	9902	30024	1138	1148	1495	52.50	1485	52.50
200401	11102	9902	30025	604	597	972	166.66	979	166.66
200401	11102	9902	30026	630	573	721	213.33	778	213.33
200401	11102	9902	30027	237	286	477	238.88	428	238.88
200401	11102	9902	30028	1363	1689	3312	16.00	2986	16.00
200401	11102	9902	30029	723	769	1570	41.18	1524	41.18
200401	11102	9902	30030	1027	1005	2345	6.75	2367	6.75
200401	11102	9902	30031	1537	1324	3290	7.50	3503	7.50
200401	11102	9902	30032	1128	939	1934	16.67	2123	16.67
200401	11102	9902	30033	413	500	950	18.00	863	18.00
200401	11102	9902	30034	278	313	802	28.12	767	28.12
200401	11102	9902	30035	503	486	903	17.78	920	17.78
200401	11102	9902	30036	1064	1020	1380	18.05	1424	18.05
